##不要修改本文件
文件保存时间: 4/15/2008 4:00:34 AM

<line>
ID:l200804150349447484x1x0y2yu20080415034944324312652
CreateTime:20080415034944
LineTag:
Configure:WaveLength=632.8nm;ReTard=0.383;
X:1,0,
Y:2,u20080415034944324312652,name=相对值;rate=-6.77353276492693E-02;changetype=1;
<data>:        磁感应强度(mT)     克尔转角(相对值)                   克尔转角(度)
               -1000.15      -4.74919523988317E-02                     0.701140070433305
               -799.725      -4.77542861321901E-02                     0.705012993802286
               -599.975      -4.76883514832627E-02                     0.704039577843204
               -399.15       -0.04771029918838                         0.704363599382318
               -199.65       -4.71472227204881E-02                     0.696050707315013
               0.675         -4.39067190642451E-02                     0.648210034379582
               200           -3.21594786523763E-02                     0.474781473249774
               399.95        -1.88206286176291E-02                     0.277855430405262
               601.175       -1.02109890751083E-02                     0.150748352882861
               799.65        -9.53855951829551E-03                     0.140821043454396
               999.9         -9.47307705757963E-03                     0.139854303305815
               999.85        -9.52299804026725E-03                     0.14059130398803
               799.875       -9.55004942150576E-03                     0.140990672857678
               599.875       -9.45083584431189E-03                     0.139525948604662
               399.05        -9.70303850650831E-03                     0.14324930347647
               199.5         -9.7616497130762E-03                      0.144114600930575
               -0.65         -1.22115628846642E-02                     0.180283513913082
               -199.925      -2.38015700081731E-02                     0.351390785786357
               -399.9        -3.68337691996022E-02                     0.543789636485202
               -600.1        -4.53226034228297E-02                     0.669113223420255
               -799.525      -4.58329679182446E-02                     0.676647910460635
               -1000         -4.58463123182795E-02                     0.676844918440046
</line>

<line>
ID:l200804150349447680x1x0y3yu20080415034944810736433
CreateTime:20080415034944
LineTag:
Configure:WaveLength=632.8nm;ReTard=0.383;
X:1,0,
Y:3,u20080415034944810736433,name=相对值;rate=-6.77353276492693E-02;changetype=1;
<data>:        磁感应强度(mT)     克尔椭率(相对值)                   克尔椭率()
               -1000.15      -0.28190521351762                         4.16186387961852
               -799.725      -0.281173916647313                        4.15106749174109
               -599.975      -0.280227774883688                        4.13709927461627
               -399.15       -0.280638055100402                        4.14315638293704
               -199.65       -0.280020255682358                        4.13403559708592
               0.675         -0.279172498874246                        4.12151987098652
               200           -0.275660540423167                        4.06967161730619
               399.95        -0.271955113244169                        4.01496711807967
               601.175       -0.270266788462985                        3.99004179713155
               799.65        -0.269998555191678                        3.98608177684943
               999.9         -0.269930463485438                        3.98507651550941
               999.85        -0.269887377818938                        3.98444042695716
               799.875       -0.270160806594703                        3.98847715026322
               599.875       -0.27044654688564                         3.99269563271328
               399.05        -0.270131858615466                        3.9880497812633
               199.5         -0.269989433927018                        3.98594711647388
               -0.65         -0.270742892812396                        3.99707068982218
               -199.925      -0.274644149728426                        4.05466629098662
               -399.9        -0.277984619350456                        4.10398279594732
               -600.1        -0.280473529614707                        4.1407274364566
               -799.525      -0.280516787314179                        4.14136606479094
               -1000         -0.280904315209873                        4.14708727275055
</line>

